Country,City,latitude,Longitude,Date,Type,UTCTime
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-28,rise,2016-02-28 10:31:52
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-28,set,2016-02-28 22:17:53
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-29,rise,2016-02-29 10:31:11
Sint Maarten,Philipsburg,18.029,-63.046,2016-02-29,set,2016-02-29 22:18:11
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-01,rise,2016-03-01 10:30:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-01,set,2016-03-01 22:18:30
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-02,rise,2016-03-02 10:29:47
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-02,set,2016-03-02 22:18:47
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-01,rise,2016-03-01 10:30:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-01,set,2016-03-01 22:18:30
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-02,rise,2016-03-02 10:29:47
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-02,set,2016-03-02 22:18:47
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-03,rise,2016-03-03 10:29:04
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-03,set,2016-03-03 22:19:05
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-04,rise,2016-03-04 10:28:21
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-04,set,2016-03-04 22:19:22
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-05,rise,2016-03-05 10:27:37
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-05,set,2016-03-05 22:19:39
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-06,rise,2016-03-06 10:26:53
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-06,set,2016-03-06 22:19:55
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-07,rise,2016-03-07 10:26:08
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-07,set,2016-03-07 22:20:11
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-08,rise,2016-03-08 10:25:23
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-08,set,2016-03-08 22:20:27
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-09,rise,2016-03-09 10:24:37
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-09,set,2016-03-09 22:20:42
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-10,rise,2016-03-10 10:23:51
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-10,set,2016-03-10 22:20:58
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-11,rise,2016-03-11 10:23:05
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-11,set,2016-03-11 22:21:12
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-12,rise,2016-03-12 10:22:18
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-12,set,2016-03-12 22:21:27
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-13,rise,2016-03-13 10:21:31
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-13,set,2016-03-13 22:21:41
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-14,rise,2016-03-14 10:20:44
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-14,set,2016-03-14 22:21:56
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-15,rise,2016-03-15 10:19:56
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-15,set,2016-03-15 22:22:10
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-16,rise,2016-03-16 10:19:09
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-16,set,2016-03-16 22:22:23
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-17,rise,2016-03-17 10:18:20
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-17,set,2016-03-17 22:22:37
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-18,rise,2016-03-18 10:17:32
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-18,set,2016-03-18 22:22:50
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-19,rise,2016-03-19 10:16:44
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-19,set,2016-03-19 22:23:03
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-20,rise,2016-03-20 10:15:55
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-20,set,2016-03-20 22:23:16
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-21,rise,2016-03-21 10:15:06
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-21,set,2016-03-21 22:23:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-22,rise,2016-03-22 10:14:17
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-22,set,2016-03-22 22:23:42
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-23,rise,2016-03-23 10:13:29
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-23,set,2016-03-23 22:23:54
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-24,rise,2016-03-24 10:12:40
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-24,set,2016-03-24 22:24:07
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-25,rise,2016-03-25 10:11:51
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-25,set,2016-03-25 22:24:19
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-26,rise,2016-03-26 10:11:02
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-26,set,2016-03-26 22:24:32
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-27,rise,2016-03-27 10:10:13
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-27,set,2016-03-27 22:24:44
Sint Maarten,Philipsburg,18.029,-63.046,2016-03-28,rise,2016-03-28 10:09:24
